date,close,ギニア,リベリア,シエラレオネ,ナイジェリア,セネガル,アメリカ,マリ,スペイン
2014/11/26,15935,2134,7168,6599,20,1,4,8,1
2014/10/29,13567,1667,6535,5338,20,1,4,,
2014/10/27,13703,1906,6535,5235,20,1,4,,
2014/10/23,10141,1553,4665,3896,20,1,4,,
2014/10/19,9936,1540,4665,3706,20,1,3,,
2014/10/17,9693,1501,4607,3560,20,1,3,,
2014/10/14,9216,1519,4262,3410,20,1,3,,
2014/10/12,8997,1472,4249,3252,20,1,2,,
2014/10/7,8399,1350,4076,2950,20,1,1,,
2014/10/5,8033,1298,3924,2789,20,1,1,,
2014/10/1,7492,1199,3834,2437,20,1,1,,
2014/9/28,7192,1157,3696,2317,20,1,1,,
2014/9/25,6808,1103,3564,2120,20,1,,,
2014/9/23,6574,1074,3458,2021,20,1,,,
2014/9/21,6263,1022,3280,1940,20,1,,,
2014/9/17,5762,965,3022,1753,21,1,,,
2014/9/14,5339,942,2720,1655,21,1,,,
2014/9/10,4846,899,2415,1509,22,3,,,
2014/9/7,4366,861,2081,1424,22,3,,,
2014/9/3,4001,823,1863,1292,22,1,,,
2014/8/31,3707,771,1698,1216,21,1,,,
2014/8/25,3071,648,1378,1026,19,,,,
2014/8/20,2615,607,1082,910,16,,,,
2014/8/18,2473,579,972,907,15,,,,
2014/8/16,2240,543,834,848,15,,,,
2014/8/13,2127,519,786,810,12,,,,
2014/8/11,1975,510,670,783,12,,,,
2014/8/9,1843,506,599,730,13,,,,
2014/8/6,1779,495,554,717,13,,,,
2014/8/4,1711,495,516,691,9,,,,
2014/8/1,1603,485,468,646,4,,,,
2014/7/27,1323,460,329,533,1,,,,
2014/7/20,1093,415,224,454,,,,,
2014/7/17,1048,410,196,442,,,,,
2014/7/12,964,406,172,386,,,,,
2014/7/8,888,409,142,337,,,,,
2014/7/6,844,408,131,305,,,,,
2014/7/2,779,412,115,252,,,,,
2014/6/30,759,413,107,239,,,,,
2014/6/22,567,390,41,136,,,,,
2014/6/17,528,398,33,97,,,,,
2014/6/10,474,372,13,89,,,,,
2014/6/5,438,344,13,81,,,,,
2014/6/2,354,291,13,50,,,,,
2014/5/27,309,281,12,16,,,,,
2014/5/23,270,258,12,,,,,,
2014/5/14,245,233,12,,,,,,
2014/5/5,243,231,12,,,,,,
2014/4/30,233,221,12,,,,,,
2014/4/23,220,208,12,,,,,,
2014/4/21,215,203,12,,,,,,
2014/4/17,209,197,12,,,,,,
2014/4/10,169,157,12,,,,,,
2014/4/7,163,151,12,,,,,,
2014/4/2,135,127,8,,,,,,
2014/4/1,130,122,8,,,,,,
2014/3/31,114,112,2,,,,,,
2014/3/27,103,103,,,,,,,
2014/3/26,86,86,,,,,,,
2014/3/25,86,86,,,,,,,
2014/3/22,49,49,,,,,,,0
